timestamp,x1,y1,x2,y2,cx,cy,z_mm,label,image_width,robot_x,robot_y,robot_yaw_deg,orig_x1_global,orig_y1_global,orig_x2_global,orig_y2_global,ext_x1_global,ext_y1_global,ext_x2_global,ext_y2_global
1750160810.2738383,41,82,63,141,52,111,3440,glass,416,-58.947410583846946,-95.8936080940494,91.95460886568029,-57.518648973228395,-92.7643525499906,-57.7118115893919,-92.68317274586036,-57.0610460976183,-91.8377528573925,-57.37010628347991,-91.70786517078412
1750160810.3395128,41,82,64,143,52,112,1933,glass,416,-58.947410583846946,-95.8936080940494,91.95460886568029,-58.144562853229026,-94.13522118513497,-58.258102519381005,-94.08768910576055,-57.88667758412085,-93.6148349243668,-58.06834104996402,-93.53878359736775
1750160810.4083395,43,83,65,144,54,113,2005,glass,416,-58.947410583846946,-95.8936080940494,91.95460886568029,-58.12477203958459,-94.06514129766126,-58.23761695454664,-94.0184499663693,-57.86105373906159,-93.5236049584386,-58.041605603000846,-93.44889882837148
1750160810.4770079,43,84,66,145,54,114,1831,glass,416,-58.947410583846946,-95.8936080940494,91.95460886568029,-58.196163115246264,-94.22382120916826,-58.3039592470633,-94.1793935867046,-57.954619454893496,-93.72954928707347,-58.12709326580076,-93.65846509113163
1750160810.5458736,43,84,66,145,54,114,1949,glass,416,-58.947410583846946,-95.8936080940494,91.95460886568029,-58.14774847772858,-94.11621069446811,-58.26249160220231,-94.06891990463652,-57.890638377222004,-93.59008509306845,-58.07422737637998,-93.51441982933794
1750160810.616366,43,84,66,145,54,114,1887,glass,416,-58.947410583846946,-95.8936080940494,91.95460886568029,-58.17318667710227,-94.17275181236141,-58.284279686790285,-94.1269653986045,-57.92425555362568,-93.66336288991857,-58.10200436912648,-93.5901046279075
1750160810.6845026,43,85,66,145,54,115,1851,glass,416,-58.947410583846946,-95.8936080940494,91.95460886568029,-58.18795724448056,-94.20558213888009,-58.29693083268008,-94.1606692338117,-57.943775204440705,-93.70591128808957,-58.11813294555996,-93.63405063998013
1750160810.7527277,42,84,66,145,54,114,1879,glass,416,-58.947410583846946,-95.8936080940494,91.95460886568029,-58.171727082821924,-94.18218876897515,-58.28709105254357,-94.13445513976166,-57.92171743705618,-93.67592301583491,-58.106299788610805,-93.59954920909331
1750160810.8234682,42,84,66,145,54,114,1873,glass,416,-58.947410583846946,-95.8936080940494,91.95460886568029,-58.174203985965164,-94.18765365239743,-58.28919957685854,-94.14007244562953,-57.92499266796662,-93.68300450091705,-58.108985613396044,-93.60687457008838
1750160810.892721,42,84,66,145,54,114,1864,glass,416,-58.947410583846946,-95.8936080940494,91.95460886568029,-58.17791934068003,-94.19585097753082,-58.292362363330994,-94.14849840443132,-57.92990551433232,-93.69362672854018,-58.11301435057385,-93.61786261158099
1750160810.9613173,42,84,66,145,54,114,1864,glass,416,-58.947410583846946,-95.8936080940494,91.95460886568029,-58.17791934068003,-94.19585097753082,-58.292362363330994,-94.14849840443132,-57.92990551433232,-93.69362672854018,-58.11301435057385,-93.61786261158099
1750160811.0299633,42,84,66,144,54,114,1824,glass,416,-58.947410583846946,-95.8936080940494,91.95460886568029,-58.194432028301634,-94.23228353367931,-58.30641919209742,-94.18594711021713,-57.95174038706867,-93.7408366290876,-58.13091984914193,-93.66669835154812
1750160811.0986526,42,84,66,145,54,114,1935,glass,416,-58.947410583846946,-95.8936080940494,91.95460886568029,-58.14860932015167,-94.1311831903673,-58.26741149227057,-94.08202695166153,-57.891148615225255,-93.60982915506854,-58.08123209061548,-93.53117917313931
